,City,Place
1269573,Sambalpur,Gudguda Water Fall
1269585,Sambalpur,Hirakud Dam
1269728,Sambalpur,Huma Temple
1269780,Sambalpur,Samaleswari Temple
1269810,Sambalpur,Khalasuni Wildlife Sanctuary
1269816,Sambalpur,Maneswar Shiva Temple
1269849,Sambalpur,Liakhai Temple
1269850,Sambalpur,Pataneswari Temple
1269853,Samsing,Suntale Stream
1269858,Samsing,Rocky Island
1269861,Sambalpur,Satyabadi Bariha Temple
1269862,Sambalpur,Ushakothi Wildlife Sanctuary
1269880,Sambalpur,Timini Temple
1269891,Sanchi,Eastern Gateway
1269898,Sanasar,Tulip Garden At Sanasar
1269901,Sanchi,Great Bowl
1269909,Sanawad,Shrimant Bajirao Peshwa Samadhi
1269930,Sanchi,Buddhist Vihara
1269945,Sanchi,Gupta Temple
1269957,Sanchi,Sanchi Museum
1269995,Sanchi,Sanchi Stupa No. 2
1270034,Sanchi,Sanchi Stupa No. 3
1270044,Sanchi,Northern Gate
1270054,Sanchi,Sanchi Stupas
1270257,Sanchi,Southern Gate
1270268,Sanchi,Udaygiri Caves
1270276,Sanchi,Western Gate
1270327,Sandur,Kumar Swamy Temple
1270332,Sancoale,Our Lady of Health Church
1270334,Sancoale,Ruins of Nossa Senhora de Saude
1270339,Sangameshwar,Karneshwar Temple
1270353,Sandur,Narihalla Reservoir
1270360,Sancoale,Dr. Alvaro Loyola Furtado Mansion
1270362,Sangameshwar,Marleshwar Temple
1270434,Sangla,Baspa River
1270454,Sangla,Bering Nag Temple
1270475,Sangameshwar,Marleshwar Waterfalls
1270477,Sangla,Chitkul
1270547,Sanghol,Sanghol Museum
1270843,Sangla,Kamru Fort
1270953,Sangla,Rakcham
1271116,Sangla,Sangla Buddhist Monastery
1271136,Sangla,Rupin Pass
1271165,Sangla,Trout Farm
1271171,Sangla,Tibetan Wood Carving Center
1271194,Sangli,Ganapati Temple
1271254,Sangli,Chandoli National Park
1271266,Sangli,Irwin Bridge
1271281,Sangli,Dandoba Hills Forest Preserve
1271306,Sangli,"ISKCON Aravade, Sri Sri Radha Gopal Temple"
1271316,Sangli,Sangli Fort
1271342,Sangli,Nakoda travels
1271347,Sangli,Jwala Narsimh Temple
1271352,Sangli,Sagareshwar Wildlife Sanctuary
1271372,Sangli,Sfc megaa mall
1271379,Sangrur,Gurdwara Akoi Sahib
1271380,Sangli,Sangmeshwar Temple
1271384,Sanguem,Mhadei Wildlife Sanctuary
1271401,Sangrur,Gurdwara Jandsar Sahib
1271402,Sangrur,Gurdwara Janam Asthan
1271403,Sangrur,Gurdwara Wadda Ghalughara Sahib
1271409,Sanguem,Salaulim Dam
1271419,Sangrur,Gurdwara Jhira Sahib
1271422,Sangrur,Gurdwara Nanakiana Sahib
1271448,Sangrur,Gurdwara Patshahi IX
1271472,Sanguem,Tambadi Surla Mahadev Temple
1271492,Sanguem,Tanshikar's Working Organic Spice Farm
1271689,Sankarankoil,Sankara Narayana Swamy Temple
1271690,Sanquelim,Arvalem Waterfalls
1271691,Sanquelim,Arvelam Falls
1271703,Sanquelim,Harvalem Caves
1271712,Santiniketan,Amar Kutir
1271722,Santiniketan,Alcha
1271851,Santiniketan,Ballavpur Wildlife Sanctuary
1271899,Santiniketan,Chhatimtala
1271980,Santiniketan,Cheena Bhavana
1271997,Santiniketan,Kala Bhavana
1272027,Santiniketan,Prakriti Bhavan
1272042,Santiniketan,Patha Bhavan
1272057,Santiniketan,Tagore's Ashram
1272087,Santiniketan,Sangeet Bhavana
1272129,Santiniketan,Siksha Bhavan
1272146,Santiniketan,Sarkar Rajbari
1272173,Santiniketan,Visva Bharati University
1272203,Santiniketan,Vidya Bhavana
1272365,Sanvordem,Dudhsagar Plantation and Farmstay
1272395,Saputara,Gira Waterfalls
1272451,Saputara,Forest Nursery
1272465,Saputara,Forest Log Hut
1272587,Saputara,Lake Garden
1272597,Saputara,Honey Bees Centre
1272678,Saputara,Girmal Falls
1272681,Saputara,Maharshi Sadafaldeo Dandakvan Ashram
1272684,Saputara,Nageshwar Mahadev Temple
1272767,Saputara,Pandava Gufa
1272841,Saputara,Saputara Lake
1273341,Saputara,Saputara Tribal Museum
1273483,Saputara,Step Garden
1273575,Saputara,Sunrise Point
1273797,Saputara,Table Point
1273877,Saputara,Townview Point
1273940,Saputara,Waghai Botanical Garden
1273950,Sarahan,Bhima Kali Temple
1274144,Sarahan,King Palace
1274150,Sariska,Kankwari Fort
1274160,Sariska,Pandupole
1274174,Sarahan,Bijjat Maharaj Temple
1274210,Sarangarh,Girivilas Palace
1274221,Sariska,Sariska National Park
1274362,Sasaram,Maa Tara Chandi Temple
